sk_tiempo,Fecha,Mes,Anio,Trimestre,DiaSemana,Temporada
0,2020-09-12,9,2020,3,7,2020/2021
1,2020-09-13,9,2020,3,1,2020/2021
2,2020-09-19,9,2020,3,7,2020/2021
3,2020-09-20,9,2020,3,1,2020/2021
4,2020-09-26,9,2020,3,7,2020/2021
5,2020-09-27,9,2020,3,1,2020/2021
6,2020-09-29,9,2020,3,3,2020/2021
7,2020-09-30,9,2020,3,4,2020/2021
8,2020-10-01,10,2020,4,5,2020/2021
9,2020-10-03,10,2020,4,7,2020/2021
10,2020-10-04,10,2020,4,1,2020/2021
11,2020-10-17,10,2020,4,7,2020/2021
12,2020-10-18,10,2020,4,1,2020/2021
13,2020-10-23,10,2020,4,6,2020/2021
14,2020-10-24,10,2020,4,7,2020/2021
15,2020-10-25,10,2020,4,1,2020/2021
16,2020-10-26,10,2020,4,2,2020/2021
17,2020-10-30,10,2020,4,6,2020/2021
18,2020-10-31,10,2020,4,7,2020/2021
19,2020-11-01,11,2020,4,1,2020/2021
20,2020-11-02,11,2020,4,2,2020/2021
21,2020-11-06,11,2020,4,6,2020/2021
22,2020-11-07,11,2020,4,7,2020/2021
23,2020-11-08,11,2020,4,1,2020/2021
24,2020-11-20,11,2020,4,6,2020/2021
25,2020-11-21,11,2020,4,7,2020/2021
26,2020-11-22,11,2020,4,1,2020/2021
27,2020-11-23,11,2020,4,2,2020/2021
28,2020-11-27,11,2020,4,6,2020/2021
29,2020-11-28,11,2020,4,7,2020/2021
30,2020-11-29,11,2020,4,1,2020/2021
31,2020-11-30,11,2020,4,2,2020/2021
32,2020-12-04,12,2020,4,6,2020/2021
33,2020-12-05,12,2020,4,7,2020/2021
34,2020-12-06,12,2020,4,1,2020/2021
35,2020-12-07,12,2020,4,2,2020/2021
36,2020-12-11,12,2020,4,6,2020/2021
37,2020-12-12,12,2020,4,7,2020/2021
38,2020-12-13,12,2020,4,1,2020/2021
39,2020-12-14,12,2020,4,2,2020/2021
40,2020-12-15,12,2020,4,3,2020/2021
41,2020-12-16,12,2020,4,4,2020/2021
42,2020-12-18,12,2020,4,6,2020/2021
43,2020-12-19,12,2020,4,7,2020/2021
44,2020-12-20,12,2020,4,1,2020/2021
45,2020-12-22,12,2020,4,3,2020/2021
46,2020-12-23,12,2020,4,4,2020/2021
47,2020-12-29,12,2020,4,3,2020/2021
48,2020-12-30,12,2020,4,4,2020/2021
49,2020-12-31,12,2020,4,5,2020/2021
50,2021-01-02,1,2021,1,7,2020/2021
51,2021-01-03,1,2021,1,1,2020/2021
52,2021-01-04,1,2021,1,2,2020/2021
53,2021-01-06,1,2021,1,4,2020/2021
54,2021-01-08,1,2021,1,6,2020/2021
55,2021-01-09,1,2021,1,7,2020/2021
56,2021-01-10,1,2021,1,1,2020/2021
57,2021-01-11,1,2021,1,2,2020/2021
58,2021-01-12,1,2021,1,3,2020/2021
59,2021-01-19,1,2021,1,3,2020/2021
60,2021-01-20,1,2021,1,4,2020/2021
61,2021-01-21,1,2021,1,5,2020/2021
62,2021-01-22,1,2021,1,6,2020/2021
63,2021-01-23,1,2021,1,7,2020/2021
64,2021-01-24,1,2021,1,1,2020/2021
65,2021-01-25,1,2021,1,2,2020/2021
66,2021-01-29,1,2021,1,6,2020/2021
67,2021-01-30,1,2021,1,7,2020/2021
68,2021-01-31,1,2021,1,1,2020/2021
69,2021-02-01,2,2021,1,2,2020/2021
70,2021-02-05,2,2021,1,6,2020/2021
71,2021-02-06,2,2021,1,7,2020/2021
72,2021-02-07,2,2021,1,1,2020/2021
73,2021-02-08,2,2021,1,2,2020/2021
74,2021-02-09,2,2021,1,3,2020/2021
75,2021-02-12,2,2021,1,6,2020/2021
76,2021-02-13,2,2021,1,7,2020/2021
77,2021-02-14,2,2021,1,1,2020/2021
78,2021-02-15,2,2021,1,2,2020/2021
79,2021-02-17,2,2021,1,4,2020/2021
80,2021-02-19,2,2021,1,6,2020/2021
81,2021-02-20,2,2021,1,7,2020/2021
82,2021-02-21,2,2021,1,1,2020/2021
83,2021-02-22,2,2021,1,2,2020/2021
84,2021-02-24,2,2021,1,4,2020/2021
85,2021-02-26,2,2021,1,6,2020/2021
86,2021-02-27,2,2021,1,7,2020/2021
87,2021-02-28,2,2021,1,1,2020/2021
88,2021-03-01,3,2021,1,2,2020/2021
89,2021-03-05,3,2021,1,6,2020/2021
90,2021-03-06,3,2021,1,7,2020/2021
91,2021-03-07,3,2021,1,1,2020/2021
92,2021-03-08,3,2021,1,2,2020/2021
93,2021-03-10,3,2021,1,4,2020/2021
94,2021-03-12,3,2021,1,6,2020/2021
95,2021-03-13,3,2021,1,7,2020/2021
96,2021-03-14,3,2021,1,1,2020/2021
97,2021-03-15,3,2021,1,2,2020/2021
98,2021-03-17,3,2021,1,4,2020/2021
99,2021-03-19,3,2021,1,6,2020/2021
100,2021-03-20,3,2021,1,7,2020/2021
101,2021-03-21,3,2021,1,1,2020/2021
102,2021-04-02,4,2021,2,6,2020/2021
103,2021-04-03,4,2021,2,7,2020/2021
104,2021-04-04,4,2021,2,1,2020/2021
105,2021-04-05,4,2021,2,2,2020/2021
106,2021-04-07,4,2021,2,4,2020/2021
107,2021-04-09,4,2021,2,6,2020/2021
108,2021-04-10,4,2021,2,7,2020/2021
109,2021-04-11,4,2021,2,1,2020/2021
110,2021-04-12,4,2021,2,2,2020/2021
111,2021-04-18,4,2021,2,1,2020/2021
112,2021-04-21,4,2021,2,4,2020/2021
113,2021-04-22,4,2021,2,5,2020/2021
114,2021-04-24,4,2021,2,7,2020/2021
115,2021-04-25,4,2021,2,1,2020/2021
116,2021-04-26,4,2021,2,2,2020/2021
117,2021-04-28,4,2021,2,4,2020/2021
118,2021-04-29,4,2021,2,5,2020/2021
119,2021-04-30,4,2021,2,6,2020/2021
120,2021-05-01,5,2021,2,7,2020/2021
121,2021-05-02,5,2021,2,1,2020/2021
122,2021-05-03,5,2021,2,2,2020/2021
123,2021-05-07,5,2021,2,6,2020/2021
124,2021-05-08,5,2021,2,7,2020/2021
125,2021-05-09,5,2021,2,1,2020/2021
126,2021-05-10,5,2021,2,2,2020/2021
127,2021-05-11,5,2021,2,3,2020/2021
128,2021-05-12,5,2021,2,4,2020/2021
129,2021-05-13,5,2021,2,5,2020/2021
130,2021-05-16,5,2021,2,1,2020/2021
131,2021-05-21,5,2021,2,6,2020/2021
132,2021-05-22,5,2021,2,7,2020/2021
133,2021-05-23,5,2021,2,1,2020/2021
134,2021-08-13,8,2021,3,6,2021/2022
135,2021-08-14,8,2021,3,7,2021/2022
136,2021-08-15,8,2021,3,1,2021/2022
137,2021-08-16,8,2021,3,2,2021/2022
138,2021-08-20,8,2021,3,6,2021/2022
139,2021-08-21,8,2021,3,7,2021/2022
140,2021-08-22,8,2021,3,1,2021/2022
141,2021-08-23,8,2021,3,2,2021/2022
142,2021-08-27,8,2021,3,6,2021/2022
143,2021-08-28,8,2021,3,7,2021/2022
144,2021-08-29,8,2021,3,1,2021/2022
145,2021-09-11,9,2021,3,7,2021/2022
146,2021-09-12,9,2021,3,1,2021/2022
147,2021-09-13,9,2021,3,2,2021/2022
148,2021-09-17,9,2021,3,6,2021/2022
149,2021-09-18,9,2021,3,7,2021/2022
150,2021-09-19,9,2021,3,1,2021/2022
151,2021-09-20,9,2021,3,2,2021/2022
152,2021-09-21,9,2021,3,3,2021/2022
153,2021-09-22,9,2021,3,4,2021/2022
154,2021-09-23,9,2021,3,5,2021/2022
155,2021-09-25,9,2021,3,7,2021/2022
156,2021-09-26,9,2021,3,1,2021/2022
157,2021-09-27,9,2021,3,2,2021/2022
