sk_partido,Fecha,HomeTeam,AwayTeam,FTHG,FTAG,FTR,B365H,B365D,B365A,PSH,PSD,PSA,Prob_H,Prob_D,Prob_A,Margen_B365,Flag_Outlier_Cuota,Temporada,Mes,Anio,source_id,load_timestamp
0,2020-09-12,Cadiz,Osasuna,0,2,A,2.8,3.0,2.75,2.87,3.04,2.86,0.3571,0.3333,0.3636,1.0541,0,2020/2021,9,2020,football-data.co.uk,2026-05-22 12:09:26.222082
1,2020-09-12,Eibar,Celta,0,0,D,2.5,3.25,2.9,2.6,3.22,3.01,0.4,0.3077,0.3448,1.0525,0,2020/2021,9,2020,football-data.co.uk,2026-05-22 12:09:26.222082
2,2020-09-12,Granada,Ath Bilbao,2,0,H,2.75,3.1,2.75,2.92,3.02,2.82,0.3636,0.3226,0.3636,1.0499,0,2020/2021,9,2020,football-data.co.uk,2026-05-22 12:09:26.222082
3,2020-09-13,Alaves,Betis,0,1,A,2.8,3.2,2.6,2.88,3.32,2.64,0.3571,0.3125,0.3846,1.0543,0,2020/2021,9,2020,football-data.co.uk,2026-05-22 12:09:26.222082
4,2020-09-13,Valencia,Levante,4,2,H,2.1,3.5,3.5,2.14,3.48,3.66,0.4762,0.2857,0.2857,1.0476,0,2020/2021,9,2020,football-data.co.uk,2026-05-22 12:09:26.222082
5,2020-09-13,Valladolid,Sociedad,1,1,D,2.8,3.2,2.6,2.98,3.3,2.57,0.3571,0.3125,0.3846,1.0543,0,2020/2021,9,2020,football-data.co.uk,2026-05-22 12:09:26.222082
6,2020-09-13,Villarreal,Huesca,1,1,D,1.57,4.0,6.0,1.57,4.21,6.36,0.6369,0.25,0.1667,1.0536,0,2020/2021,9,2020,football-data.co.uk,2026-05-22 12:09:26.222082
7,2020-09-19,Celta,Valencia,2,1,H,2.2,3.6,3.1,2.25,3.58,3.22,0.4545,0.2778,0.3226,1.0549,0,2020/2021,9,2020,football-data.co.uk,2026-05-22 12:09:26.222082
8,2020-09-19,Getafe,Osasuna,1,0,H,1.95,3.25,4.33,2.02,3.24,4.4,0.5128,0.3077,0.2309,1.0515,0,2020/2021,9,2020,football-data.co.uk,2026-05-22 12:09:26.222082
9,2020-09-19,Villarreal,Eibar,2,1,H,1.57,4.0,6.0,1.61,4.12,5.93,0.6369,0.25,0.1667,1.0536,0,2020/2021,9,2020,football-data.co.uk,2026-05-22 12:09:26.222082
10,2020-09-20,Betis,Valladolid,2,0,H,1.85,3.6,4.33,1.87,3.63,4.52,0.5405,0.2778,0.2309,1.0493,0,2020/2021,9,2020,football-data.co.uk,2026-05-22 12:09:26.222082
11,2020-09-20,Granada,Alaves,2,1,H,2.05,3.1,4.2,2.1,3.08,4.3,0.4878,0.3226,0.2381,1.0485,0,2020/2021,9,2020,football-data.co.uk,2026-05-22 12:09:26.222082
12,2020-09-20,Huesca,Cadiz,0,2,A,2.1,3.1,4.0,2.21,2.99,4.07,0.4762,0.3226,0.25,1.0488,0,2020/2021,9,2020,football-data.co.uk,2026-05-22 12:09:26.222082
13,2020-09-20,Sociedad,Real Madrid,0,0,D,4.75,3.8,1.72,4.83,3.85,1.76,0.2105,0.2632,0.5814,1.0551,0,2020/2021,9,2020,football-data.co.uk,2026-05-22 12:09:26.222082
14,2020-09-26,Alaves,Getafe,0,0,D,3.5,2.9,2.37,3.58,2.83,2.5,0.2857,0.3448,0.4219,1.0525,0,2020/2021,9,2020,football-data.co.uk,2026-05-22 12:09:26.222082
15,2020-09-26,Betis,Real Madrid,2,3,A,4.0,4.0,1.8,4.17,3.94,1.85,0.25,0.25,0.5556,1.0556,0,2020/2021,9,2020,football-data.co.uk,2026-05-22 12:09:26.222082
16,2020-09-26,Elche,Sociedad,0,3,A,4.2,3.3,1.95,4.28,3.45,1.97,0.2381,0.303,0.5128,1.0539,0,2020/2021,9,2020,football-data.co.uk,2026-05-22 12:09:26.222082
17,2020-09-26,Valencia,Huesca,1,1,D,2.0,3.4,4.0,2.1,3.4,3.82,0.5,0.2941,0.25,1.0441,0,2020/2021,9,2020,football-data.co.uk,2026-05-22 12:09:26.222082
18,2020-09-27,Ath Madrid,Granada,6,1,H,1.5,4.0,7.5,1.48,4.2,8.13,0.6667,0.25,0.1333,1.05,0,2020/2021,9,2020,football-data.co.uk,2026-05-22 12:09:26.222082
19,2020-09-27,Barcelona,Villarreal,4,0,H,1.53,4.33,6.0,1.56,4.53,5.77,0.6536,0.2309,0.1667,1.0512,0,2020/2021,9,2020,football-data.co.uk,2026-05-22 12:09:26.222082
20,2020-09-27,Cadiz,Sevilla,1,3,A,5.0,3.6,1.7,5.52,3.38,1.83,0.2,0.2778,0.5882,1.066,0,2020/2021,9,2020,football-data.co.uk,2026-05-22 12:09:26.222082
21,2020-09-27,Eibar,Ath Bilbao,1,2,A,3.0,3.0,2.55,3.17,2.98,2.69,0.3333,0.3333,0.3922,1.0588,0,2020/2021,9,2020,football-data.co.uk,2026-05-22 12:09:26.222082
22,2020-09-27,Osasuna,Levante,1,3,A,2.3,3.2,3.25,2.3,3.43,3.25,0.4348,0.3125,0.3077,1.055,0,2020/2021,9,2020,football-data.co.uk,2026-05-22 12:09:26.222082
23,2020-09-27,Valladolid,Celta,1,1,D,2.8,3.0,2.7,2.96,2.94,2.81,0.3571,0.3333,0.3704,1.0608,0,2020/2021,9,2020,football-data.co.uk,2026-05-22 12:09:26.222082
